,action_instances,id,nl_command_statment
0,"[{'options': [{'id': 601225, 'name': 'new email from', 'params': {""sender's address"": 'contact@gs-store.de'}}, {'id': 600599, 'name': 'new email in inbox from', 'params': {'email address': 'contact@gs-store.de'}}]}, {'id': 700000, 'name': 'make a payment', 'params': {'invoice': '<return1>.attachment', 'method': 'credit card'}}, {'id': 600603, 'name': 'send an email', 'params': {'attachment url': '<return2>', 'to address': 'contact@gs-store.de'}}]",101,"Pay the invoice that I will receive from contact@gs-store.de with my cred card, then send the payment receipt to them using the same address."
1,"[{'options': [{'id': 601225, 'name': 'new email from', 'params': {""sender's address"": 'contact@gs-store.de'}}, {'id': 600599, 'name': 'new email in inbox from', 'params': {'email address': 'contact@gs-store.de'}}]}, {'id': 700000, 'name': 'make a payment', 'params': {'invoice': '<return1>.attachment', 'method': 'bank'}}, {'id': 600603, 'name': 'send an email', 'params': {'attachment url': '<return2>', 'to address': 'contact@gs-store.de'}}]",102,Pay in the bank my purchases that I will soon receive from contact@gs-store.de. Send the proof of payment back to the store.
2,"[{'options': [{'id': 601225, 'name': 'new email from', 'params': {""sender's address"": 'contact@gs-store.de'}}, {'id': 600599, 'name': 'new email in inbox from', 'params': {'email address': 'contact@gs-store.de'}}]}, {'id': 700000, 'name': 'make a payment', 'params': {'invoice': '<return1>.attachment', 'method': 'bank'}}, {'id': 600603, 'name': 'send an email', 'params': {'attachment url': '<return2>', 'to address': 'contact@gs-store.de'}}]",105,Make a payment using my bank account when I receive a message from Good Sports Store. Send the receipt back to the store.
3,"[{'options': [{'id': 601225, 'name': 'new email from', 'params': {""sender's address"": 'contact@gs-store.de'}}, {'id': 600599, 'name': 'new email in inbox from', 'params': {'email address': 'contact@gs-store.de'}}]}, {'id': 700000, 'name': 'make a payment', 'params': {'invoice': '<return1>.attachment', 'method': 'bank'}}, {'id': 600603, 'name': 'send an email', 'params': {'attachment url': '<return2>', 'to address': 'contact@gs-store.de'}}]",106,"Pay my Good Sports Store account balance using my bank account on the day I receive an email with a payment invoice from contact@gs-store.de, and send the payment receipt back to the store."
4,"[{'options': [{'id': 601225, 'name': 'new email from', 'params': {""sender's address"": 'contact@gs-store.de'}}, {'id': 600599, 'name': 'new email in inbox from', 'params': {'email address': 'contact@gs-store.de'}}]}, {'id': 700000, 'name': 'make a payment', 'params': {'invoice': '<return1>.attachment', 'method': 'credit card'}}, {'id': 600603, 'name': 'send an email', 'params': {'attachment url': '<return2>.receipt', 'to address': 'contact@gs-store.de'}}]",107,"Wait for a new email from the sender contact@gs-store.de. Pay it using my credit card. Once paid, create a response, upload the payment receipt to the email to send. Send it."
5,"[{'id': 700001, 'name': 'new deposit in your account from sender', 'params': {'sender name': 'John Sanders'}}, {'options': [{'id': 600603, 'name': 'send an email', 'params': {'body': 'thank you', 'to address': 'john@fam.com'}}, {'id': 601227, 'name': 'send email', 'params': {'body': 'thank you', 'recipients': 'john@fam.com'}}]}]",401,"	Check for a new deposit by John Sanders. After receiving it, message him with ""thank you""."
6,"[{'id': 700001, 'name': 'new deposit in your account from sender', 'params': {'sender name': 'John Sanders'}}, {'options': [{'id': 600603, 'name': 'send an email', 'params': {'body': 'thank you', 'to address': 'john@fam.com'}}, {'id': 601227, 'name': 'send email', 'params': {'body': 'thank you', 'recipients': 'john@fam.com'}}]}]",402,"When a new deposit from John Sanders occurs in my bank accoung, seek the contact John on the agenda. Send ""thank you"" to John when this happens."
7,"[{'id': 700001, 'name': 'new deposit in your account from sender', 'params': {'sender name': 'John Sanders'}}, {'options': [{'id': 600603, 'name': 'send an email', 'params': {'body': 'thank you', 'to address': 'john@fam.com'}}, {'id': 601227, 'name': 'send email', 'params': {'body': 'thank you', 'recipients': 'john@fam.com'}}]}]",403,"If any income from John Sanders arrives in my bank account, send this message to him: Thank you."
8,"[{'id': 700001, 'name': 'new deposit in your account from sender', 'params': {'sender name': 'John Sanders'}}, {'options': [{'id': 600603, 'name': 'send an email', 'params': {'body': 'Hello John, thanks for your gift to me, I receive your deposit of some money to me, thanks a lot, buddy.', 'to address': 'john@fam.com'}}, {'id': 601227, 'name': 'send email', 'params': {'body': 'Hello John, thanks for your gift to me, I receive your deposit of some money to me, thanks a lot, buddy.', 'recipients': 'john@fam.com'}}]}]",404,"If a receive a deposit from John Sanders in my bank account, send this message to him: ""Hello John, thanks for your gift to me, I receive your deposit of some money to me, thanks a lot, buddy."""
9,"[{'id': 700002, 'name': 'read file content', 'params': {'file': 'question.doc'}}, {'options': [{'id': 501371, 'name': 'translate', 'params': {'from': 'en', 'text': '<return1>', 'to': 'pt'}}, {'id': 501915, 'name': 'translate', 'params': {'languageConverted': 'en', 'languageToConvert': 'pt', 'text': '<return1>'}}, {'id': 503292, 'name': 'translate', 'params': {'input': '<return1>', 'source': 'en', 'target': 'pt'}}]}, {'options': [{'id': 600209, 'name': 'create a text file', 'params': {'content': '<return2>', 'file name': 'question-pt.doc'}}, {'id': 600350, 'name': 'create a text file', 'params': {'content': '<return2>', 'file name': 'question-pt.doc'}}, {'id': 600614, 'name': 'create a document', 'params': {'content': '<return2>', 'document name': 'question-pt.doc'}}]}, {'id': 600603, 'name': 'send an email', 'params': {'attachment url': 'question-pt.doc', 'body': 'Hi Sandra, could you review this document for me, please?', 'to address': 'sandra@andrade.com.br'}}]",501,"Translate ""question.doc"" from EN to PT. Save the content in the file ""question-pt.doc"" and send to Sandra with this message: Hi Sandra, could you review this document for me, please?"
